,0
0,190
1,109
2,74
3,216
4,163
5,236
6,154
7,100
8,4
9,206
10,65
11,66
12,211
13,176
14,167
15,56
16,116
17,209
18,26
19,104
20,87
21,204
22,1
23,112
24,68
25,86
26,138
27,42
28,229
29,165
30,153
31,82
32,180
33,63
34,68
35,64
36,126
37,96
38,219
39,133
40,85
41,74
42,171
43,157
44,182
45,215
46,98
47,80
48,218
49,43
50,217
51,156
52,19
53,44
54,106
55,72
56,36
57,126
58,31
59,120
60,224
61,160
62,33
63,164
64,83
65,120
66,220
67,89
68,105
69,204
70,199
71,131
72,183
73,148
74,187
75,53
76,176
77,12
78,112
79,228
80,64
81,102
82,213
83,26
84,116
85,208
86,123
87,179
88,18
89,162
90,167
91,78
92,25
93,173
94,180
95,20
96,143
97,186
98,149
99,182
100,59
101,62
102,206
103,193
104,131
105,155
106,67
107,4
108,78
109,147
110,102
111,199
112,83
113,166
114,53
115,23
116,8
117,57
118,186
119,129
120,40
121,227
122,224
123,70
124,81
125,149
126,35
127,122
128,7
129,72
130,215
131,202
132,133
133,108
134,135
135,196
136,24
137,19
138,159
139,73
140,122
141,50
142,145
143,166
144,195
145,26
146,214
147,15
148,3
149,105
150,26
151,233
152,154
153,214
154,106
155,99
156,222
157,226
158,25
159,211
160,211
161,42
162,51
163,37
164,103
165,117
166,24
167,35
168,59
169,57
170,198
171,118
172,177
173,234
174,96
175,6
176,127
177,45
178,98
179,199
180,228
181,147
182,34
183,17
184,139
185,75
186,134
187,73
188,60
189,30
190,192
191,152
192,141
193,72
194,68
195,76
196,221
197,174
198,130
199,187
200,63
201,12
202,190
203,92
204,158
205,46
206,179
207,20
208,32
209,170
210,47
211,79
212,11
213,229
214,0
215,84
216,34
217,35
218,71
219,197
220,44
221,176
222,111
223,215
224,222
225,172
226,37
227,178
228,147
229,190
230,84
231,189
232,2
233,191
234,24
235,9
236,206
